comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000000DgKR,1,7.98,1,0,1,NA,1,0,0,6,6,1,147
a0C00000002oNxA,2,2.14,0,0,1,EMEA,1,0,0,1,0,1,208
a0C0000000242LU,3,3.45,0,0,1,NA,0,1,0,2,8,1,263
a0C00000000Dguo,4,7.92,1,0,1,NA,1,0,0,1,6,1,1133
a0C00000000ESr2,5,6.36,0,0,1,NA,1,0,0,2,2,1,311
a0C00000000Dfyz,6,8.01,1,0,1,NA,0,1,0,8,7,1,525
a0C00000001LOU2,7,4.24,1,0,1,EMEA,1,0,0,1,8,1,173
a0C00000003N7mV,8,1.12,0,1,1,NA,0,1,0,1,3,1,19
a0C00000002Vzza,9,2.86,0,0,1,APAC,1,0,0,1,0,1,186
a0C00000002mJh2,10,2.44,1,0,1,NA,0,1,0,1,3,1,77
a0C00000001OOGl,11,4.14,1,0,1,EMEA,1,0,0,1,10,1,146
a0C00000002mzrd,12,2.35,0,0,1,NA,1,0,0,1,9,1,180
a0C00000001C5zH,13,4.41,1,0,1,EMEA,1,0,0,1,7,1,326
a0C000000014Z8U,14,4.52,0,0,1,EMEA,0,1,0,3,5,1,282
a0C00000003Mt4v,15,1.36,1,0,1,NA,1,0,0,4,2,1,112
a0C00000002vlQH,16,1.82,0,0,1,APAC,1,0,0,1,11,1,19
a0C00000003NdRa,17,0.65,0,1,1,EMEA,0,1,0,1,4,1,6
a0C00000003NBnB,18,1.09,0,0,1,NA,1,0,0,1,0,1,18
a0C00000000Dg4n,19,8,0,0,1,NA,0,0,0,1,1,0,88
a0C00000002yW0Y,20,1.6,1,0,1,EMEA,0,1,0,1,2,0,33
a0C00000002yap1,21,1.59,0,0,1,EMEA,1,0,0,1,0,1,40
a0C00000000Dfyp,22,8.01,0,0,1,NA,0,1,0,1,4,1,449
a0C00000003NZhu,23,0.82,0,0,1,EMEA,1,0,0,1,0,1,15
a0C00000002yap6,24,1.59,0,0,1,EMEA,1,0,0,1,7,1,100
a0C00000002VYj5,25,2.87,0,0,1,NA,0,1,0,1,0,1,58
a0C00000000Tc50,26,5.55,0,0,1,NA,1,0,0,1,5,0,192
a0C00000000EDuD,27,6.65,0,0,1,NA,1,0,0,2,2,1,320
a0C00000000DfyG,28,8.01,0,0,1,NA,0,0,0,1,1,0,4
a0C00000000DfyG,29,8.01,0,0,1,NA,0,0,0,1,1,1,4
a0C00000002nsDg,30,2.23,1,0,1,APAC,1,0,0,1,6,1,48
a0C00000001w8a7,31,3.65,1,0,1,NA,0,1,0,1,4,1,194
a0C00000002q5Mk,32,1.97,0,0,1,NA,1,0,0,1,1,1,24
a0C00000003NWF6,33,0.92,0,0,1,NA,0,1,0,1,0,1,12
a0C00000000DffE,34,8.03,0,0,1,APAC,1,0,0,1,0,0,5
a0C00000002pnlO,35,2,0,0,1,NA,0,1,0,1,0,1,18
a0C00000000EDUz,36,6.67,0,0,1,NA,0,0,0,1,1,0,53
a0C00000002mxg7,37,2.36,1,0,1,NA,1,0,0,29,13,1,11
a0C00000000EGgf,38,6.56,0,0,1,NA,0,1,0,2,5,1,79
a0C00000000E4pr,39,6.94,0,0,1,NA,0,0,0,1,2,0,232
a0C00000000DgqN,40,7.93,1,0,1,NA,0,0,0,1,3,0,89
a0C00000000EDuI,41,6.65,0,0,1,NA,1,0,0,2,1,1,262
a0C00000002yGeT,42,1.61,0,0,1,APAC,1,0,0,1,4,1,10
a0C00000000Dfyq,43,8.01,0,0,1,NA,0,1,0,1,4,1,83
a0C00000000DgCS,44,8,0,0,1,NA,0,0,0,1,0,0,26
a0C00000002yW0T,45,1.6,0,0,1,EMEA,0,1,0,1,3,0,32
a0C00000002umNb,46,1.92,0,0,1,NA,0,1,0,1,0,1,21
a0C00000002v64K,47,1.9,0,0,1,NA,0,1,0,1,0,1,4
a0C00000000EAnu,48,6.74,0,0,1,NA,0,0,0,1,0,0,10
a0C00000000EVWo,49,6.34,0,0,1,NA,0,1,0,1,6,1,33
a0C00000000Dfyk,50,8.01,0,0,1,NA,0,0,0,1,1,0,1
a0C00000000DjJ6,51,7.65,0,0,1,NA,0,0,0,1,0,0,4
a0C000000023AUr,52,3.47,0,0,1,NA,0,1,0,1,3,1,58
a0C00000000GZeJ,53,5.68,1,0,1,NA,0,0,0,1,5,0,77
a0C00000000Eve0,54,6.19,0,0,1,NA,0,0,0,1,1,0,14
a0C00000000jO0d,55,4.9,1,0,1,EMEA,0,0,0,5,6,0,101
a0C00000002oMgz,56,2.15,0,0,1,NA,0,1,0,1,4,1,1
a0C00000003NVkp,57,0.95,0,1,1,NA,0,1,0,1,2,1,31
a0C00000000V0Nk,58,5.21,1,0,1,NA,1,0,0,2,6,0,35
